CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
GBRTENW,2010,13,f,30,507,507,1149,1904,4097,0.000325008448871626,0.00143028188375725,0.0105805872228056,0.0339587012071064,0.118880826496149,0.00752364236020514,0,0,0
GBRTENW,2010,13,b,66,1265,1256,2385,2971,7943,0.000348969409183038,0.00179068284917689,0.0136306159192734,0.039994186664486,0.126414101542177,0.00741751336387342,0,0,0
GBRTENW,2010,14,m,44,940,949,1538,1276,4747,0.00045443732483555,0.00267076684128147,0.0214572087392859,0.0596159835702714,0.170449563163268,0.00901967393567235,0,0,0
GBRTENW,2010,14,f,41,590,654,1420,2277,4982,0.000444178213457889,0.0016644305945104,0.0136483314471693,0.0419681076710976,0.142169980006161,0.00914883725617331,0,0,0
GBRTENW,2010,14,b,85,1530,1603,2958,3553,9729,0.000449430299705428,0.00216580613378707,0.017396399139009,0.0496028528945701,0.151177819851685,0.00908535660545443,0,0,0
GBRTENW,2010,15,m,46,976,968,1611,1193,4794,0.000475093566873529,0.00277305152881991,0.021886805120789,0.0624456108788734,0.159362326687915,0.00910897763800574,0,0,0
GBRTENW,2010,15,f,38,621,678,1447,2303,5087,0.000411677368570727,0.00175188372744231,0.0141491876470654,0.0427660928169565,0.143793352636886,0.00934165698959326,0,0,0
GBRTENW,2010,15,b,84,1597,1646,3058,3496,9881,0.000444142884414775,0.00226064862461304,0.0178630523910223,0.0512797579958064,0.148752507233743,0.0092273007111209,0,0,0
GBRTENW,2010,16,m,51,986,898,1494,1200,4629,0.000526734171968478,0.00280146394202504,0.0203040816099881,0.057910454781525,0.16029739482439,0.00879546464045235,0,0,0
GBRTENW,2010,16,f,46,590,627,1327,2229,4819,0.000498346288269827,0.0016644305945104,0.0130848682222862,0.0392194921686947,0.139172984380208,0.008849507574769,0,0,0
GBRTENW,2010,16,b,97,1576,1525,2821,3429,9448,0.000512879283193253,0.00223092187375714,0.0165499118446592,0.0473054929058764,0.145901701174058,0.00882294677853155,0,0,0
GBRTENW,2010,17,m,45,960,912,1523,1196,4636,0.00046476544585454,0.00272759166769172,0.0206206263121483,0.0590345533013806,0.159763070174976,0.00880876519186371,0,0,0
GBRTENW,2010,17,f,33,585,652,1334,2262,4866,0.000357509293758789,0.00165032525048913,0.0136065934305113,0.03942637720651,0.14123341887305,0.0089358173602046,0,0,0
GBRTENW,2010,17,b,78,1545,1564,2857,3458,9502,0.000412418392670863,0.00218703952725557,0.0169731554918341,0.0479091787423214,0.147135632155115,0.00887337428975516,0,0,0
GBRTENW,2010,18,m,40,815,818,1327,1092,4092,0.000413124840759591,0.00231561167621745,0.0184952547405014,0.051437197787874,0.145870629290195,0.00777512233932405,0,0,0
GBRTENW,2010,18,f,32,544,561,1247,1863,4247,0.000346675678796402,0.00153466142951468,0.0117075136725719,0.0368550917365202,0.116320892732313,0.00779909912223365,0,0,0
GBRTENW,2010,18,b,72,1359,1379,2574,2955,8339,0.00038069390092695,0.00192374544824616,0.0149654612680558,0.0431635373058227,0.125733312035386,0.00778731511284659,0,0,0
GBRTENW,2010,19,m,43,980,910,1511,1211,4655,0.00044410920381656,0.00278441649410196,0.0205754056404111,0.0585694090862679,0.161766787610281,0.00884486668855168,0,0,0
GBRTENW,2010,19,f,52,617,587,1462,2110,4828,0.000563347978044152,0.00174059945222529,0.012250107889126,0.0432094178979892,0.131742932724198,0.00886603498049071,0,0,0
GBRTENW,2010,19,b,95,1597,1497,2973,3321,9483,0.000502304452611948,0.00226064862461304,0.0162460446107901,0.0498543886597556,0.141306372003221,0.00885563127654686,0,0,0
GBRTENW,2010,20,m,47,918,888,1375,1179,4407,0.000485421687892519,0.00260825953223021,0.0200779782513023,0.0532977746483246,0.157492190414963,0.00837364715283507,0,0,0
GBRTENW,2010,20,f,46,603,637,1314,2182,4782,0.000498346288269827,0.00170110448896572,0.0132935583055762,0.0388352770984663,0.136238426163128,0.00878156157346864,0,0,0
GBRTENW,2010,20,b,93,1521,1525,2689,3361,9189,0.000491729622030644,0.00215306609770597,0.0165499118446592,0.0450919781722444,0.143008345770198,0.00858108149321829,0,0,0
GBRTENW,2010,21,m,61,963,947,1480,1145,4596,0.000630015382158376,0.00273611539165325,0.0214119880675487,0.0573677865305603,0.152950430894939,0.00873276204094168,0,0,0
GBRTENW,2010,21,f,43,594,669,1381,2165,4852,0.000465845443382665,0.00167571486972742,0.0139613665721044,0.0408154624604125,0.13517699021227,0.00891010806241527,0,0,0
GBRTENW,2010,21,b,104,1557,1616,2861,3310,9448,0.000549891190227817,0.00220402624203037,0.017537480354734,0.0479762549463709,0.140838329217303,0.00882294677853155,0,0,0
GBRTENW,2010,22,m,44,805,813,1209,1082,3953,0.00045443732483555,0.00228719926301233,0.0183822030611585,0.0468632796725996,0.144534817666659,0.00751101138986998,0,0,0
GBRTENW,2010,22,f,25,519,558,1207,1914,4223,0.000270840374059689,0.00146413470940831,0.0116449066475848,0.0356728915204329,0.119505200584889,0.00775502604030909,0,0,0
GBRTENW,2010,22,b,69,1324,1371,2416,2996,8176,0.000364831655054994,0.00187420086348633,0.0148786420583789,0.0405140272458693,0.127477835146537,0.00763509873637531,0,0,0
GBRTENW,2010,23,m,35,977,870,1424,1222,4528,0.000361484235664642,0.00277589277014043,0.0196709922056678,0.0551971135267012,0.163236180396171,0.00860355668437422,0,0,0
GBRTENW,2010,23,f,25,618,657,1303,2128,4731,0.000270840374059689,0.00174342052102954,0.0137109384721563,0.0385101720390423,0.132866806083931,0.00868790627437895,0,0,0
GBRTENW,2010,23,b,60,1595,1527,2727,3350,9259,0.000317244917439125,0.00225781750548391,0.0165716166470784,0.0457292021107142,0.142540302984279,0.0086464504892489,0,0,0
GBRTENW,2010,24,m,42,905,860,1327,1121,4255,0.00043378108279757,0.00257132339506355,0.0194448888469819,0.051437197787874,0.149744482998451,0.00808483517933134,0,0,0
GBRTENW,2010,24,f,48,568,637,1203,1802,4258,0.000520013518194602,0.0016023670808168,0.0132935583055762,0.0355546714988242,0.112512210790998,0.0078192992847824,0,0,0
GBRTENW,2010,24,b,90,1473,1497,2530,2923,8513,0.000475867376158688,0.00208511923860677,0.0162460446107901,0.0424256990612787,0.124371733021805,0.00794980376012268,0,0,0
GBRTENW,2010,25,m,43,897,835,1283,1050,4108,0.00044410920381656,0.00254859346449945,0.0188796304502673,0.0497316689991276,0.140260220471341,0.00780552359969286,0,0,0
GBRTENW,2010,25,f,29,559,602,1219,1944,4353,0.000314174833909239,0.0015769774615785,0.0125631430140611,0.0360275515852591,0.12137832285111,0.00799375523406712,0,0,0
GBRTENW,2010,25,b,72,1456,1437,2502,2994,8461,0.00038069390092695,0.00206105472600913,0.0155949005382133,0.0419561656329325,0.127392736458188,0.00790124393449994,0,0,0
GBRTENW,2010,26,m,40,899,897,1296,1149,4281,0.000413124840759591,0.00255427594714047,0.0202814712741195,0.0502355752321663,0.153484755544354,0.00813423722743066,0,0,0
GBRTENW,2010,26,f,40,541,600,1348,2157,4686,0.000433344598495502,0.00152619822310191,0.0125214049974031,0.0398401472821405,0.134677490941278,0.0086052692457704,0,0,0
GBRTENW,2010,26,b,80,1440,1497,2644,3306,8967,0.000422993223252167,0.00203840577297607,0.0162460446107901,0.0443373708766881,0.140668131840605,0.00837376839152121,0,0,0
GBRTENW,2010,27,m,48,938,835,1430,1053,4304,0.000495749808911509,0.00266508435864045,0.0188796304502673,0.0554296856342575,0.140660963958402,0.00817793903921083,0,0,0
GBRTENW,2010,27,f,33,578,541,1258,1911,4321,0.000357509293758789,0.00163057776885935,0.0112901335059918,0.0371801967959442,0.119317888358267,0.00793499112483437,0,0,0
GBRTENW,2010,27,b,81,1516,1376,2688,2964,8625,0.000428280638542819,0.00214598829988314,0.0149329040644269,0.0450752091212321,0.126116256132956,0.00805439415377166,0,0,0
GBRTENW,2010,28,m,51,931,804,1353,1067,4206,0.000526734171968478,0.00264519566939686,0.0181787100383412,0.0524450102539514,0.142531100231354,0.00799173131945185,0,0,0
GBRTENW,2010,28,f,49,534,600,1229,1921,4333,0.00053084713315699,0.00150645074147213,0.0125214049974031,0.0363231016392809,0.119942262447007,0.00795702766579665,0,0,0
GBRTENW,2010,28,b,100,1465,1404,2582,2988,8539,0.000528741529065209,0.00207379476209023,0.0152367712982961,0.0432976897139216,0.127137440393142,0.00797408367293405,0,0,0
GBRTENW,2010,29,m,41,917,808,1338,991,4095,0.000423452961778581,0.00260541829090969,0.0182691513818156,0.0518635799850606,0.132378931892476,0.0077808225756432,0,0,0
GBRTENW,2010,29,f,33,585,551,1195,1800,4164,0.000357509293758789,0.00165032525048913,0.0114988235892818,0.0353182314556068,0.11238733597325,0.00764667971391121,0,0,0
GBRTENW,2010,29,b,74,1502,1359,2533,2791,8259,0.000391268731508255,0.0021261704659792,0.0147484132438635,0.0424760062143158,0.118755219590783,0.00771260768881161,0,0,0
GBRTENW,2010,30,m,47,827,796,1288,1008,3966,0.000485421687892519,0.00234970657206359,0.0179978273513926,0.0499254790887578,0.134649811652488,0.00753571241391964,0,0,0
GBRTENW,2010,30,f,36,537,581,1176,1957,4287,0.000390010138645952,0.00151491394788489,0.012124893839152,0.0347566863529653,0.122190009166472,0.00787255425877458,0,0,0
GBRTENW,2010,30,b,83,1364,1377,2464,2965,8253,0.000438855469124123,0.001930823246069,0.0149437564656365,0.0413189416944627,0.126158805477131,0.00770700463200899,0,0,0
GBRTENW,2010,31,m,38,924,834,1344,1018,4158,0.000392468598721611,0.00262530698015328,0.0188570201143988,0.0520961520926169,0.135985623276024,0.00790052753834541,0,0,0
GBRTENW,2010,31,f,40,642,600,1213,1810,4305,0.000433344598495502,0.00181112617233166,0.0125214049974031,0.035850221552846,0.11301171006199,0.007905609070218,0,0,0
GBRTENW,2010,31,b,78,1566,1434,2557,2828,8463,0.000412418392670863,0.00221676627811147,0.0155623433345845,0.0428784634386125,0.120329545325236,0.00790311162010082,0,0,0
GBRTENW,2010,32,m,44,848,801,1258,1031,3982,0.00045443732483555,0.00240937263979435,0.0181108790307355,0.0487626185509762,0.137722178386622,0.00756611367428846,0,0,0
GBRTENW,2010,32,f,38,565,585,1220,1927,4335,0.000411677368570727,0.00159390387440403,0.012208369872468,0.0360571065906613,0.120316886900251,0.0079607004226237,0,0,0
GBRTENW,2010,32,b,82,1413,1386,2478,2958,8317,0.000433568053833471,0.00200018566473277,0.0150414280765231,0.0415537084086358,0.12586096006791,0.00776677057123697,0,0,0
GBRTENW,2010,33,m,34,852,852,1372,1039,4149,0.000351156114645652,0.0024207376050764,0.0192640061600333,0.0531814885945464,0.138790827685451,0.00788342682938795,0,0,0
GBRTENW,2010,33,f,32,572,573,1232,2024,4433,0.000346675678796402,0.00161365135603382,0.0119579417725199,0.0364117666554875,0.126373315561032,0.00814066550714899,0,0,0
GBRTENW,2010,33,b,66,1424,1425,2604,3063,8582,0.000348969409183038,0.002015756819943,0.015464671723698,0.0436666088361936,0.130328641206223,0.00801423891335286,0,0,0
GBRTENW,2010,34,m,39,877,872,1319,1120,4227,0.000402796719740601,0.0024917686380892,0.0197162128774049,0.0511271016444655,0.149610901836098,0.00803163297368591,0,0,0
GBRTENW,2010,34,f,32,561,590,1212,2003,4398,0.000346675678796402,0.00158261959918701,0.012312714914113,0.0358206665474438,0.125062129974677,0.00807639226267567,0,0,0
GBRTENW,2010,34,b,71,1438,1462,2531,3123,8625,0.000375406485636298,0.00203557465384693,0.0158662105684536,0.0424424681122911,0.132881601856688,0.00805439415377166,0,0,0
GBRTENW,2010,35,m,33,782,765,1177,1005,3762,0.000340827993626662,0.00222185071264055,0.0172969069394665,0.0456228950989658,0.134249068165427,0.00714809634421727,0,0,0
GBRTENW,2010,35,f,32,512,527,1139,1736,3946,0.000346675678796402,0.00144438722777852,0.0109979673893857,0.0336631511530846,0.108391341805312,0.00724634921976312,0,0,0
GBRTENW,2010,35,b,65,1294,1292,2316,2741,7708,0.000343681993892386,0.00183173407654933,0.0140213023628195,0.038837122144633,0.116627752382062,0.00719806030577066,0,0,0
GBRTENW,2010,36,m,44,926,906,1373,1097,4346,0.00045443732483555,0.0026309894627943,0.0204849642969368,0.0532202506124725,0.146538535101963,0.00825774234767896,0,0,0
GBRTENW,2010,36,f,32,572,633,1311,2067,4615,0.000346675678796402,0.00161365135603382,0.0132100822722602,0.0387466120822598,0.129058124142615,0.00847488637841024,0,0,0
GBRTENW,2010,36,b,76,1498,1539,2684,3164,8961,0.000401843562089559,0.00212050822772094,0.0167018454615938,0.0450081329171826,0.134626124967838,0.00836816533471859,0,0,0
GBRTENW,2010,37,m,50,961,885,1334,1077,4307,0.000516406050949489,0.00273043290901223,0.0200101472436965,0.0517085319133563,0.14386691185489,0.00818363927552998,0,0,0
GBRTENW,2010,37,f,39,565,591,1200,2016,4411,0.000422510983533114,0.00159390387440403,0.012333583922442,0.0354660064826177,0.12587381629004,0.00810026518205148,0,0,0
GBRTENW,2010,37,b,89,1526,1476,2534,3093,8718,0.000470579960868036,0.0021601438955288,0.0160181441853882,0.0424927752653281,0.131605121531455,0.00814124153421233,0,0,0
GBRTENW,2010,38,m,44,912,828,1303,1171,4258,0.00045443732483555,0.00259121208430713,0.0187213580991873,0.0505069093576487,0.156423541116134,0.00809053541565049,0,0,0
